ada,,'~\b,\b~',"'~\bada\b~',"
seluruh,,,,"'~\bseluruh\b~',"
seluruhnya,,,,"'~\bseluruhnya\b~',"
semacam,,,,"'~\bsemacam\b~',"
semakin,,,,"'~\bsemakin\b~',"
semampu,,,,"'~\bsemampu\b~',"
semampunya,,,,"'~\bsemampunya\b~',"
semasa,,,,"'~\bsemasa\b~',"
semasih,,,,"'~\bsemasih\b~',"
semata,,,,"'~\bsemata\b~',"
semata-mata,,,,"'~\bsemata-mata\b~',"
semaunya,,,,"'~\bsemaunya\b~',"
sementara,,,,"'~\bsementara\b~',"
semisal,,,,"'~\bsemisal\b~',"
semisalnya,,,,"'~\bsemisalnya\b~',"
sempat,,,,"'~\bsempat\b~',"
semua,,,,"'~\bsemua\b~',"
semuanya,,,,"'~\bsemuanya\b~',"
semula,,,,"'~\bsemula\b~',"
sendiri,,,,"'~\bsendiri\b~',"
sendirian,,,,"'~\bsendirian\b~',"
sendirinya,,,,"'~\bsendirinya\b~',"
seolah,,,,"'~\bseolah\b~',"
seolah-olah,,,,"'~\bseolah-olah\b~',"
seorang,,,,"'~\bseorang\b~',"
sepanjang,,,,"'~\bsepanjang\b~',"
sepantasnya,,,,"'~\bsepantasnya\b~',"
sepantasnyalah,,,,"'~\bsepantasnyalah\b~',"
seperlunya,,,,"'~\bseperlunya\b~',"
seperti,,,,"'~\bseperti\b~',"
sepertinya,,,,"'~\bsepertinya\b~',"
sepihak,,,,"'~\bsepihak\b~',"
sering,,,,"'~\bsering\b~',"
seringnya,,,,"'~\bseringnya\b~',"
serta,,,,"'~\bserta\b~',"
serupa,,,,"'~\bserupa\b~',"
sesaat,,,,"'~\bsesaat\b~',"
sesama,,,,"'~\bsesama\b~',"
sesampai,,,,"'~\bsesampai\b~',"
sesegera,,,,"'~\bsesegera\b~',"
sesekali,,,,"'~\bsesekali\b~',"
seseorang,,,,"'~\bseseorang\b~',"
sesuatu,,,,"'~\bsesuatu\b~',"
sesuatunya,,,,"'~\bsesuatunya\b~',"
sesudah,,,,"'~\bsesudah\b~',"
sesudahnya,,,,"'~\bsesudahnya\b~',"
setelah,,,,"'~\bsetelah\b~',"
setempat,,,,"'~\bsetempat\b~',"
setengah,,,,"'~\bsetengah\b~',"
seterusnya,,,,"'~\bseterusnya\b~',"
setiap,,,,"'~\bsetiap\b~',"
setiba,,,,"'~\bsetiba\b~',"
setibanya,,,,"'~\bsetibanya\b~',"
setidak-tidaknya,,,,"'~\bsetidak-tidaknya\b~',"
setidaknya,,,,"'~\bsetidaknya\b~',"
setinggi,,,,"'~\bsetinggi\b~',"
seusai,,,,"'~\bseusai\b~',"
sewaktu,,,,"'~\bsewaktu\b~',"
siap,,,,"'~\bsiap\b~',"
siapa,,,,"'~\bsiapa\b~',"
siapakah,,,,"'~\bsiapakah\b~',"
siapapun,,,,"'~\bsiapapun\b~',"
sini,,,,"'~\bsini\b~',"
sinilah,,,,"'~\bsinilah\b~',"
soal,,,,"'~\bsoal\b~',"
soalnya,,,,"'~\bsoalnya\b~',"
suatu,,,,"'~\bsuatu\b~',"
sudah,,,,"'~\bsudah\b~',"
sudahkah,,,,"'~\bsudahkah\b~',"
sudahlah,,,,"'~\bsudahlah\b~',"
supaya,,,,"'~\bsupaya\b~',"
tadi,,,,"'~\btadi\b~',"
tadinya,,,,"'~\btadinya\b~',"
tahu,,,,"'~\btahu\b~',"
tahun,,,,"'~\btahun\b~',"
tak,,,,"'~\btak\b~',"
tambah,,,,"'~\btambah\b~',"
tambahnya,,,,"'~\btambahnya\b~',"
tampak,,,,"'~\btampak\b~',"
tampaknya,,,,"'~\btampaknya\b~',"
tandas,,,,"'~\btandas\b~',"
tandasnya,,,,"'~\btandasnya\b~',"
tanpa,,,,"'~\btanpa\b~',"
tanya,,,,"'~\btanya\b~',"
tanyakan,,,,"'~\btanyakan\b~',"
tanyanya,,,,"'~\btanyanya\b~',"
tapi,,,,"'~\btapi\b~',"
tegas,,,,"'~\btegas\b~',"
tegasnya,,,,"'~\btegasnya\b~',"
telah,,,,"'~\btelah\b~',"
tempat,,,,"'~\btempat\b~',"
tengah,,,,"'~\btengah\b~',"
tentang,,,,"'~\btentang\b~',"
tentu,,,,"'~\btentu\b~',"
tentulah,,,,"'~\btentulah\b~',"
tentunya,,,,"'~\btentunya\b~',"
tepat,,,,"'~\btepat\b~',"
terakhir,,,,"'~\bterakhir\b~',"
terasa,,,,"'~\bterasa\b~',"
terbanyak,,,,"'~\bterbanyak\b~',"
terdahulu,,,,"'~\bterdahulu\b~',"
terdapat,,,,"'~\bterdapat\b~',"
terdiri,,,,"'~\bterdiri\b~',"
terhadap,,,,"'~\bterhadap\b~',"
terhadapnya,,,,"'~\bterhadapnya\b~',"
teringat,,,,"'~\bteringat\b~',"
teringat-ingat,,,,"'~\bteringat-ingat\b~',"
terjadi,,,,"'~\bterjadi\b~',"
terjadilah,,,,"'~\bterjadilah\b~',"
terjadinya,,,,"'~\bterjadinya\b~',"
terkira,,,,"'~\bterkira\b~',"
terlalu,,,,"'~\bterlalu\b~',"
terlebih,,,,"'~\bterlebih\b~',"
terlihat,,,,"'~\bterlihat\b~',"
termasuk,,,,"'~\btermasuk\b~',"
ternyata,,,,"'~\bternyata\b~',"
tersampaikan,,,,"'~\btersampaikan\b~',"
tersebut,,,,"'~\btersebut\b~',"
tersebutlah,,,,"'~\btersebutlah\b~',"
tertentu,,,,"'~\btertentu\b~',"
tertuju,,,,"'~\btertuju\b~',"
terus,,,,"'~\bterus\b~',"
terutama,,,,"'~\bterutama\b~',"
tetap,,,,"'~\btetap\b~',"
tetapi,,,,"'~\btetapi\b~',"
tiap,,,,"'~\btiap\b~',"
tiba,,,,"'~\btiba\b~',"
tiba-tiba,,,,"'~\btiba-tiba\b~',"
tidak,,,,"'~\btidak\b~',"
tidakkah,,,,"'~\btidakkah\b~',"
tidaklah,,,,"'~\btidaklah\b~',"
tiga,,,,"'~\btiga\b~',"
tinggi,,,,"'~\btinggi\b~',"
toh,,,,"'~\btoh\b~',"
tunjuk,,,,"'~\btunjuk\b~',"
turut,,,,"'~\bturut\b~',"
tutur,,,,"'~\btutur\b~',"
tuturnya,,,,"'~\btuturnya\b~',"
ucap,,,,"'~\bucap\b~',"
ucapnya,,,,"'~\bucapnya\b~',"
ujar,,,,"'~\bujar\b~',"
ujarnya,,,,"'~\bujarnya\b~',"
umum,,,,"'~\bumum\b~',"
umumnya,,,,"'~\bumumnya\b~',"
ungkap,,,,"'~\bungkap\b~',"
ungkapnya,,,,"'~\bungkapnya\b~',"
untuk,,,,"'~\buntuk\b~',"
usah,,,,"'~\busah\b~',"
usai,,,,"'~\busai\b~',"
waduh,,,,"'~\bwaduh\b~',"
wah,,,,"'~\bwah\b~',"
wahai,,,,"'~\bwahai\b~',"
waktu,,,,"'~\bwaktu\b~',"
waktunya,,,,"'~\bwaktunya\b~',"
walau,,,,"'~\bwalau\b~',"
walaupun,,,,"'~\bwalaupun\b~',"
wong,,,,"'~\bwong\b~',"
yaitu,,,,"'~\byaitu\b~',"
yakin,,,,"'~\byakin\b~',"
yakni,,,,"'~\byakni\b~',"
yang,,,,"'~\byang\b~',"
