bgmn,bagaimana,,,,"'/bgmn/',","'bagaimana',"
bgmna,bagaimana,,,,"'/bgmna/',","'bagaimana',"
bgn,bangun,,,,"'/bgn/',","'bangun',"
bgt,banget,,,,"'/bgt/',","'banget',"
bgtu,begitu,,,,"'/bgtu/',","'begitu',"
bhs,bahasa,,,,"'/bhs/',","'bahasa',"
bimbel,bimbingan belajar,,,,"'/bimbel/',","'bimbingan belajar',"
birthday,ulang tahun,,,,"'/birthday/',","'ulang tahun',"
bis,habis,,,,"'/bis/',","'habis',"
bjln,berjalan,,,,"'/bjln/',","'berjalan',"
bklan,bakalan,,,,"'/bklan/',","'bakalan',"
bkn,bukan,,,,"'/bkn/',","'bukan',"
blackbery,blackberry,,,,"'/blackbery/',","'blackberry',"
blg,bilang,,,,"'/blg/',","'bilang',"
blk,balik,,,,"'/blk/',","'balik',"
blm,belum,,,,"'/blm/',","'belum',"
bln,bulan,,,,"'/bln/',","'bulan',"
blng,bilang,,,,"'/blng/',","'bilang',"
blnja,belanja,,,,"'/blnja/',","'belanja',"
blom,belum,,,,"'/blom/',","'belum',"
blon,belum,,,,"'/blon/',","'belum',"
bls,balas,,,,"'/bls/',","'balas',"
blsanya,balasannya,,,,"'/blsanya/',","'balasannya',"
blum,belum,,,,"'/blum/',","'belum',"
bm,bbm,,,,"'/bm/',","'bbm',"
bnar,benar,,,,"'/bnar/',","'benar',"
bner,benar,,,,"'/bner/',","'benar',"
bnr,benar,,,,"'/bnr/',","'benar',"
bnrn,beneran,,,,"'/bnrn/',","'beneran',"
bntr,sebentar,,,,"'/bntr/',","'sebentar',"
bntu,bantu,,,,"'/bntu/',","'bantu',"
bnuh,bunuh,,,,"'/bnuh/',","'bunuh',"
bnyk,banyak,,,,"'/bnyk/',","'banyak',"
bobonya,tidurnya,,,,"'/bobonya/',","'tidurnya',"
bodo,bodoh,,,,"'/bodo/',","'bodoh',"
bokap,ayah,,,,"'/bokap/',","'ayah',"
bole,boleh,,,,"'/bole/',","'boleh',"
boong,bohong,,,,"'/boong/',","'bohong',"
boring,bosan,,,,"'/boring/',","'bosan',"
bpak,bapak,,,,"'/bpak/',","'bapak',"
bpk,bapak,,,,"'/bpk/',","'bapak',"
brangcut,berangkat,,,,"'/brangcut/',","'berangkat',"
brangkt,berangkat,,,,"'/brangkt/',","'berangkat',"
brenang,berenang,,,,"'/brenang/',","'berenang',"
brg,barang,,,,"'/brg/',","'barang',"
brp,berapa,,,,"'/brp/',","'berapa',"
brpa,berapa,,,,"'/brpa/',","'berapa',"
brsih,bersih,,,,"'/brsih/',","'bersih',"
bru,baru,,,,"'/bru/',","'baru',"
bs,bisa,,,,"'/bs/',","'bisa',"
bsa,bisa,,,,"'/bsa/',","'bisa',"
bsar,besar,,,,"'/bsar/',","'besar',"
bsh,basah,,,,"'/bsh/',","'basah',"
bsk,besok,,,,"'/bsk/',","'besok',"
bsok,besok,,,,"'/bsok/',","'besok',"
bsr,besar,,,,"'/bsr/',","'besar',"
bth,butuh,,,,"'/bth/',","'butuh',"
btuh,butuh,,,,"'/btuh/',","'butuh',"
btul,betul,,,,"'/btul/',","'betul',"
btw,ngomong ngomong,,,,"'/btw/',","'ngomong ngomong',"
buanged,banget,,,,"'/buanged/',","'banget',"
buangedh,banget,,,,"'/buangedh/',","'banget',"
buanget,banget,,,,"'/buanget/',","'banget',"
buktiin,buktikan,,,,"'/buktiin/',","'buktikan',"
buktin,buktikan,,,,"'/buktin/',","'buktikan',"
buln,bulan,,,,"'/buln/',","'bulan',"
bungks,bungkus,,,,"'/bungks/',","'bungkus',"
bw,bawa,,,,"'/bw/',","'bawa',"
bwa,bawa,,,,"'/bwa/',","'bawa',"
bwah,bawah,,,,"'/bwah/',","'bawah',"
bwat,untuk,,,,"'/bwat/',","'untuk',"
bwh,bawah,,,,"'/bwh/',","'bawah',"
bwt,untuk,,,,"'/bwt/',","'untuk',"
byar,bayar,,,,"'/byar/',","'bayar',"
byk,banyak,,,,"'/byk/',","'banyak',"
byr,bayar,,,,"'/byr/',","'bayar',"
cabe,cabai,,,,"'/cabe/',","'cabai',"
cadas,cerdas,,,,"'/cadas/',","'cerdas',"
cah,bocah,,,,"'/cah/',","'bocah',"
call,telepon,,,,"'/call/',","'telepon',"
can,dapat,,,,"'/can/',","'dapat',"
cape,capek,,,,"'/cape/',","'capek',"
car,mobil,,,,"'/car/',","'mobil',"
career,karir,,,,"'/career/',","'karir',"
caution,perhatian,,,,"'/caution/',","'perhatian',"
cb,coba,,,,"'/cb/',","'coba',"
ceman,teman,,,,"'/ceman/',","'teman',"
cemungudh,semangat,,,,"'/cemungudh/',","'semangat',"
cemungut,semangat,,,,"'/cemungut/',","'semangat',"
cepet,cepat,,,,"'/cepet/',","'cepat',"
cew,cewek,,,,"'/cew/',","'cewek',"
cewe,cewek,,,,"'/cewe/',","'cewek',"
check,cek,,,,"'/check/',","'cek',"
ciapa,siapa,,,,"'/ciapa/',","'siapa',"
cibuk,sibuk,,,,"'/cibuk/',","'sibuk',"
cinto,cinta,,,,"'/cinto/',","'cinta',"
cius,serius,,,,"'/cius/',","'serius',"
ciusan,seriusan,,,,"'/ciusan/',","'seriusan',"
ciyus,serius,,,,"'/ciyus/',","'serius',"
clananya,celananya,,,,"'/clananya/',","'celananya',"
cmpakan,campakkan,,,,"'/cmpakan/',","'campakkan',"
cmpakin,campakkan,,,,"'/cmpakin/',","'campakkan',"
cnd,canda,,,,"'/cnd/',","'canda',"
cnda,canda,,,,"'/cnda/',","'canda',"
cnggih,canggih,,,,"'/cnggih/',","'canggih',"
cngih,canggih,,,,"'/cngih/',","'canggih',"
cnt,cinta,,,,"'/cnt/',","'cinta',"
cnta,cinta,,,,"'/cnta/',","'cinta',"
cntik,cantik,,,,"'/cntik/',","'cantik',"
cntk,cantik,,,,"'/cntk/',","'cantik',"
cntre,tengah,,,,"'/cntre/',","'tengah',"
co,cowok,,,,"'/co/',","'cowok',"
coach,pelatih,,,,"'/coach/',","'pelatih',"
coaster,alas,,,,"'/coaster/',","'alas',"
cocokin,cocokkan,,,,"'/cocokin/',","'cocokkan',"
cocoknyo,cocoknya,,,,"'/cocoknyo/',","'cocoknya',"
coconut,kelapa,,,,"'/coconut/',","'kelapa',"
cod,bayar saat pengiriman,,,,"'/cod/',","'bayar saat pengiriman',"
coding,mengkode,,,,"'/coding/',","'mengkode',"
coklat,cokelat,,,,"'/coklat/',","'cokelat',"
colecting,mengoleksi,,,,"'/colecting/',","'mengoleksi',"
colection,koleksi,,,,"'/colection/',","'koleksi',"
colongin,curikan,,,,"'/colongin/',","'curikan',"
colonial,kolonial,,,,"'/colonial/',","'kolonial',"
color,warna,,,,"'/color/',","'warna',"
colorful,berwarna-warni,,,,"'/colorful/',","'berwarna-warni',"
colour,warna,,,,"'/colour/',","'warna',"
comeback,datang kembali,,,,"'/comeback/',","'datang kembali',"
comedy,komedi,,,,"'/comedy/',","'komedi',"
comendable,patut dihargai,,,,"'/comendable/',","'patut dihargai',"
coment,komen,,,,"'/coment/',","'komen',"
comercial,komersil,,,,"'/comercial/',","'komersil',"
comes,datang,,,,"'/comes/',","'datang',"
comfirm,konfirmasi,,,,"'/comfirm/',","'konfirmasi',"
comfort,nyaman,,,,"'/comfort/',","'nyaman',"
comfortable,menyenangkan,,,,"'/comfortable/',","'menyenangkan',"
comic,komik,,,,"'/comic/',","'komik',"
coming,datang,,,,"'/coming/',","'datang',"
comingson,segera datang,,,,"'/comingson/',","'segera datang',"
comingsoon,segera datang,,,,"'/comingsoon/',","'segera datang',"
commando,prajurit,,,,"'/commando/',","'prajurit',"
commendable,patut dihargai,,,,"'/commendable/',","'patut dihargai',"
comment,komen,,,,"'/comment/',","'komen',"
commentary,uraian,,,,"'/commentary/',","'uraian',"
commercial,komersil,,,,"'/commercial/',","'komersil',"
community,komunita,,,,"'/community/',","'komunita',"
communityny,komunitanya,,,,"'/communityny/',","'komunitanya',"
company,perusahaan,,,,"'/company/',","'perusahaan',"
competition,persaingan,,,,"'/competition/',","'persaingan',"
complain,mengeluh,,,,"'/complain/',","'mengeluh',"
complete,lengkap,,,,"'/complete/',","'lengkap',"
completes,lengkap,,,,"'/completes/',","'lengkap',"
compliment,pujian,,,,"'/compliment/',","'pujian',"
compose,menyusun,,,,"'/compose/',","'menyusun',"
computing,menghitung,,,,"'/computing/',","'menghitung',"
comunity,komunita,,,,"'/comunity/',","'komunita',"
comunityny,komunitanya,,,,"'/comunityny/',","'komunitanya',"
concept,konsep,,,,"'/concept/',","'konsep',"
concert,konser,,,,"'/concert/',","'konser',"
condition,kondisi,,,,"'/condition/',","'kondisi',"
conditioning,mengkondisikan,,,,"'/conditioning/',","'mengkondisikan',"
conect,menghubungkan,,,,"'/conect/',","'menghubungkan',"
conection,koneksi,,,,"'/conection/',","'koneksi',"
confident,yakin,,,,"'/confident/',","'yakin',"
configuration,susunan,,,,"'/configuration/',","'susunan',"
confirm,konfirmasi,,,,"'/confirm/',","'konfirmasi',"
confius,bingung,,,,"'/confius/',","'bingung',"
confuse,bingung,,,,"'/confuse/',","'bingung',"
confused,bingung,,,,"'/confused/',","'bingung',"
congralts,selamat,,,,"'/congralts/',","'selamat',"
congrat,selamat,,,,"'/congrat/',","'selamat',"
congrate,selamat,,,,"'/congrate/',","'selamat',"
congrats,selamat,,,,"'/congrats/',","'selamat',"
consept,konsep,,,,"'/consept/',","'konsep',"
consider,mempertimbangkan,,,,"'/consider/',","'mempertimbangkan',"
consult,berunding,,,,"'/consult/',","'berunding',"
consultants,konsultan,,,,"'/consultants/',","'konsultan',"
consumer,konsumen,,,,"'/consumer/',","'konsumen',"
contac,kontak,,,,"'/contac/',","'kontak',"
contact,kontak,,,,"'/contact/',","'kontak',"
content,isi,,,,"'/content/',","'isi',"
contest,kontes,,,,"'/contest/',","'kontes',"
contoe,contohnya,,,,"'/contoe/',","'contohnya',"
contra,kontra,,,,"'/contra/',","'kontra',"
contract,kontrak,,,,"'/contract/',","'kontrak',"
control,kontrol,,,,"'/control/',","'kontrol',"
convention,konvensi,,,,"'/convention/',","'konvensi',"
convoy,konvoi,,,,"'/convoy/',","'konvoi',"
cook,memasak,,,,"'/cook/',","'memasak',"
copas,copy paste,,,,"'/copas/',","'copy paste',"
copot,lepas,,,,"'/copot/',","'lepas',"
corner,sudut,,,,"'/corner/',","'sudut',"
corners,sudut,,,,"'/corners/',","'sudut',"
corola,corolla,,,,"'/corola/',","'corolla',"
correction,koreksi,,,,"'/correction/',","'koreksi',"
corridor,koridor,,,,"'/corridor/',","'koridor',"
cosmetics,kosmetik,,,,"'/cosmetics/',","'kosmetik',"
cost,ongkos,,,,"'/cost/',","'ongkos',"
costs,ongkos,,,,"'/costs/',","'ongkos',"
costum,kostum,,,,"'/costum/',","'kostum',"
could,dapat,,,,"'/could/',","'dapat',"
council,dewan,,,,"'/council/',","'dewan',"
countdown,perhitungan detik-detik terakhir,,,,"'/countdown/',","'perhitungan detik-detik terakhir',"
counter,alat perhitungan,,,,"'/counter/',","'alat perhitungan',"
country,negara,,,,"'/country/',","'negara',"
countryside,daerah pedalaman,,,,"'/countryside/',","'daerah pedalaman',"
couple,pasangan,,,,"'/couple/',","'pasangan',"
cousin,sepupu,,,,"'/cousin/',","'sepupu',"
cow,cowok,,,,"'/cow/',","'cowok',"
cowo,cowok,,,,"'/cowo/',","'cowok',"
cpt,cepat,,,,"'/cpt/',","'cepat',"
cr,cara,,,,"'/cr/',","'cara',"
crazy,gila,,,,"'/crazy/',","'gila',"
cri,cari,,,,"'/cri/',","'cari',"
crt,cerita,,,,"'/crt/',","'cerita',"
crtx,ceritanya,,,,"'/crtx/',","'ceritanya',"
cucok,cocok,,,,"'/cucok/',","'cocok',"
cukop,cukup,,,,"'/cukop/',","'cukup',"
cuman,cuma,,,,"'/cuman/',","'cuma',"
cumn,hanya,,,,"'/cumn/',","'hanya',"
curcol,curhat,,,,"'/curcol/',","'curhat',"
cwek,cewek,,,,"'/cwek/',","'cewek',"
cwo,cowok,,,,"'/cwo/',","'cowok',"
cwok,cowok,,,,"'/cwok/',","'cowok',"
cyus,serius,,,,"'/cyus/',","'serius',"
dah,sudah,,,,"'/dah/',","'sudah',"
dalan,jalan,,,,"'/dalan/',","'jalan',"
dangerous,bahaya,,,,"'/dangerous/',","'bahaya',"
dasyat,dahsyat,,,,"'/dasyat/',","'dahsyat',"
date,tanggal,,,,"'/date/',","'tanggal',"
dateng,datang,,,,"'/dateng/',","'datang',"
datenglah,datanglah,,,,"'/datenglah/',","'datanglah',"
day,hari,,,,"'/day/',","'hari',"
dbls,dibalas,,,,"'/dbls/',","'dibalas',"
dbnt,dibantu,,,,"'/dbnt/',","'dibantu',"
ddlm,didalam,,,,"'/ddlm/',","'didalam',"
dduk,duduk,,,,"'/dduk/',","'duduk',"
